date,year,month,week,day,day_name,weekend,quarter,region,governorate,city,sales_channel,customer_type,product_category,product_name,technology,offer_type,promotion,promotion_discount,campaign_name,unit_price,quantity_sold,revenue,payment_method,network_usage_level,stock_available,competitor_campaign,public_holiday,school_holiday,ramadan,eid,weather,temperature,unemployment_index,inflation_index,fuel_price,customer_satisfaction,complaints,churn_rate,active_users,previous_day_sales,previous_week_sales,moving_average_7,moving_average_30,target_sales_next_day,region_enc,governorate_enc,city_enc,sales_channel_enc,customer_type_enc,product_category_enc,product_name_enc,technology_enc,offer_type_enc,payment_method_enc,network_usage_level_enc,weather_enc,campaign_name_enc
2025-12-31,2025,12,1,31,mercredi,0,4,Sud Est,Médenine,Médenine,Revendeur,Particulier,Mobile,Forfait Illimité,5G,Prépayé,1,11.8,Nouvel An Digital,62.214,29,1804.206,Espèces,Moyen,63.0,0,0,1,0,0,Pluvieux,7.2,15.29,11.39,2.837,4.19,2.0,3.59,3127,11.0,11.0,16.43,20.33,,5,8,8,3,1,2,12,1,2,1,3,4,7
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Site Web,Entreprise,Data,50 Go,5G,Postpayé,0,0.0,Aucune,40.08,96,3847.68,Mobile Money,Moyen,211.0,0,0,1,0,0,Pluvieux,4.2,15.29,11.39,2.837,4.14,0.0,3.06,4120,142.0,105.0,104.43,111.93,,2,15,15,4,0,0,4,1,1,3,3,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Application Mobile,Particulier,Data,5 Go,4G,Postpayé,0,0.0,Aucune,8.186,89,728.554,Espèces,Faible,175.0,0,0,1,0,0,Ensoleillé,4.8,15.29,11.39,2.837,4.12,0.0,2.88,3513,101.0,102.0,100.71,94.0,,2,15,15,0,1,0,3,0,1,1,1,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Ben Arous,Ben Arous,Boutique,Particulier,Data,20 Go,5G,Prépayé,0,0.0,Aucune,22.795,61,1390.495,Mobile Money,Moyen,149.0,0,0,1,0,0,Pluvieux,9.3,15.29,11.39,2.837,4.23,0.0,1.88,3590,49.0,21.0,60.43,57.13,,2,1,1,1,1,0,2,1,2,3,3,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Application Mobile,Particulier,Data,100 Go,5G,Prépayé,0,0.0,Aucune,63.182,88,5560.016,Paiement en ligne,Moyen,161.0,0,0,1,0,0,Nuageux,7.9,15.29,11.39,2.837,4.25,0.0,2.89,3640,74.0,68.0,67.86,66.8,,2,15,15,0,1,0,1,1,2,4,3,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Ouest,Kairouan,Kairouan,Centre d'appel,Entreprise,Internet Fixe,xDSL Premium,xDSL,Entreprise,0,0.0,Aucune,44.452,1,44.452,Carte bancaire,Faible,8.0,0,0,1,0,0,Nuageux,8.5,15.29,11.39,2.837,4.41,0.0,3.77,793,1.0,1.0,0.71,0.9,,1,5,5,2,0,1,14,3,0,0,1,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Ouest,Kairouan,Kairouan,Boutique,Particulier,Mobile,Forfait 5 DT,4G,Prépayé,0,0.0,Aucune,5.73,15,85.95,Carte bancaire,Faible,15.0,0,0,1,0,0,Nuageux,5.6,15.29,11.39,2.837,4.25,1.0,2.44,3386,27.0,40.0,33.86,30.93,,1,5,5,1,1,2,11,0,2,0,1,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Ouest,Kairouan,Kairouan,Application Mobile,Particulier,Data,10 Go,4G,Prépayé,0,0.0,Aucune,14.013,12,168.156,Carte bancaire,Faible,31.0,0,0,1,0,0,Pluvieux,3.0,15.29,11.39,2.837,4.41,0.0,2.63,2346,17.0,12.0,15.0,15.73,,1,5,5,0,1,0,0,0,2,0,1,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Centre d'appel,Particulier,Internet Fixe,xDSL Basic,xDSL,Résidentiel,0,0.0,Aucune,33.6,3,100.8,Paiement en ligne,Faible,11.0,0,0,1,0,0,Nuageux,12.2,15.29,11.39,2.837,4.54,0.0,2.35,1071,5.0,5.0,5.29,4.7,,0,10,10,2,1,1,13,3,3,4,1,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Application Mobile,Particulier,Mobile,Forfait Illimité,5G,Prépayé,0,0.0,Aucune,68.682,82,5631.924,Carte bancaire,Moyen,187.0,0,0,1,0,0,Nuageux,0.9,15.29,11.39,2.837,4.64,1.0,2.24,3730,84.0,117.0,74.14,64.33,,0,10,10,0,1,2,12,1,2,0,3,3,1
